76341,281957
76341,198663
76341,4723
140607,1892
140607,1891
140607,11
140607,1894
286217,157336
286217,75174
286217,568
286217,26388
286217,10514
135397,329
135397,7191
135397,27576
135397,27578
293660,1726
293660,68721
293660,100402
293660,10195
293660,24428
299687,602
299687,140607
299687,157336
299687,118340
157336,602
157336,27576
157336,19913
157336,4507
87101,157336
87101,605
87101,218
102899,100402
102899,99861
102899,271110
102899,76338
102899,10195
131631,76341
131631,110415
131631,12244
158852,105
158852,165
158852,602
158852,196
198184,157336
198184,87101
198184,605
198184,2048
198184,76341
198663,294254
198663,185063
198663,49049
198663,10803
257344,269100
257344,82690
257344,228933
257344,4723
257344,9980
118340,157336
118340,286217
118340,102899
118340,99861
118340,100402
27205,336004
27205,4507
27205,377
27205,81188
27205,294652
238615,602
238615,334074
238615,97051
238615,4507
238615,314555
100402,99861
100402,76338
100402,10195
262500,76341
262500,157336
262500,198663
262500,131634
262500,294254
76757,157336
76757,62
76757,286217
76757,118340
76757,49047
127585,36668
127585,36658
127585,36657
127585,100402
240832,106646
240832,263472
240832,258480
240832,292431
240832,979
294254,131631
294254,110415
101299,281957
101299,76341
101299,27576
101299,59967
101299,2048
49047,157336
49047,286217
49047,40430
49047,118340
49047,140607
19995,10681
19995,137113
19995,602
98566,140300
98566,194662
98566,24
98566,49026
72190,49901
72190,263265
72190,8408
72190,241842
72190,361159
264660,87101
264660,78
264660,2048
264660,76341
264660,157336
110415,7191
110415,9659
110415,1690
534,157336
534,603
534,78
218,296
218,157336
218,603
70981,602
70981,299687
70981,7453
70981,49849
70981,137113
1771,99861
1771,155
1771,228150
271110,100402
271110,99861
271110,155
271110,49521
271110,76338
246655,100402
246655,271110
246655,102899
246655,118340
2048,59967
2048,281957
2048,76341
2048,177572
17654,10200
17654,840
17654,846
68726,140607
68726,211672
68726,135397
68726,76341
68726,87101
280,534
280,218
280,10134
280,11633
280,24150
91314,177572
91314,19995
91314,39254
91314,17654
91314,68726
51876,127585
51876,246655
51876,867
51876,36658
51876,36657
24428,99861
24428,100402
24428,76338
78,157336
78,87101
78,9323
78,603
119450,63
119450,75174
119450,1705
1726,99861
1726,68721
1726,100402
1726,76338
87421,281957
87421,27576
87421,357096
87421,157336
87421,76341
10138,99861
10138,68721
10138,100402
10138,76338
157350,40508
157350,18885
157350,16314
157350,198663
157350,32302
206487,87101
206487,127585
206487,41154
206487,298312
206487,13475
